"","COD_UF","SIGLA_UF","POP","HAN_OBS_Y","INCIDENCE_OBSERVED_PER100K","W1","X1","X2","X3","X4","X5","PROP_GRAU2","CONT_EXAM","COB_BOLSAF","COB_PSF","MED_MORA_DOM","URBANISATION","incidence_corrected_per100k_posterior_mean","total_cases_T_corrected_HPD90lower","total_cases_T_corrected_posterior_mean","total_cases_T_corrected_HPD90upper","unreported_cases_HPD90lower","unreported_cases_posterior_mean","unreported_cases_HPD90upper","epsilon_posterior_mean","theta_posterior_mean","phi_posterior_mean","delta_posterior_mean","gamma_posterior_mean","detection_rate_HPD90lower","detection_rate_posterior_mean","detection_rate_HPD90upper"
"13","26","PE",80429223,24518,25.5413080947345,-2.56103937237123,7.49372311324155,5.50139592721984,8.49439386474712,0.138371495983496,-2.73231885713544,7.27502620139926,93.4725166474733,98.8107662378222,79.2542112026943,3.53961589635544,69.2282012644445,27.9695641652094,24562,26761,29085,44,2243,4567,0.909644444444444,1486.7073,0.412966666666667,0.00905555555555555,0.00417222222222222,0.843,0.9162,0.9982
"14","27","AL",28713797,3475,12.2459056389863,-2.12220050634466,-2.41668830118061,4.94100818881347,13.9008889465209,0.353755487240443,-13.4643752815799,7.71386506742583,83.5621052330512,98.2503784994159,84.6607062844681,3.75499988761239,58.49614484,13.6700889582656,3483,3872,4284,8,397,809,0.907823076923077,297.989638461538,0.0580076923076923,-0.00688461538461538,0.0107153846153846,0.8112,0.8975,0.9977
"15","28","SE",18885319,3897,17.8775519734779,-1.12456032071922,7.84923032868171,6.45160983379018,19.1061402354548,0.0806102699577232,-11.516661265426,8.71150525305127,93.8280238629135,99.7609801443926,89.865957573402,3.48185467032967,60.4438588561538,19.8522617052413,3907,4315,4756,10,418,859,0.903961538461538,331.612630769231,0.222792307692308,0.0218615384615385,0.0214307692307692,0.8194,0.9031,0.9974
"16","29","BA",130884631,23968,19.9474894478104,-2.36146408042036,-6.726865081308,5.46704709915381,-0.104793193892885,0.10560580406094,-12.4179712209549,7.47460149335013,79.2519284529238,98.7764174097562,70.6550241440543,3.50685020443289,59.542548900625,21.8588785151369,24042,26295,28763,74,2327,4795,0.90725,821.565703125,0.240609375,0.005371875,-0.00679375,0.8333,0.9115,0.9969
"17","31","MG",180534738,14117,10.3586947344834,5.61757124283252,4.90951701705024,-1.42066172531505,5.62573570074881,-0.193000294335629,5.89912035478375,15.453636816603,90.888310551282,91.8887085852873,76.385553038696,3.20824410603632,77.8596404763636,11.8520615353875,14155,16122,18285,38,2005,4168,0.85389696969697,244.558113636364,-0.651101515151515,-0.0182560606060606,-0.0193818181818182,0.7721,0.8756,0.9973
"18","32","ES",32586874,8291,26.7964672866978,-2.05204531307668,7.04770746260309,-3.49049942936172,-2.68154769546081,-0.278282739810287,-1.94447760388758,7.78402026069381,93.0265009968349,89.8188708812407,68.0782696424864,3.12296166056166,70.0160425176923,29.4292444755712,8302,9077,9905,11,786,1614,0.906546153846154,697.814284615385,0.475530769230769,0.0276230769230769,0.00944615384615385,0.8371,0.9134,0.9987
"19","33","RJ",145017548,15117,8.7531656833029,-0.478239536433474,-0.516704029438189,1.28224379093012,-19.862729099865,-0.337023589084469,14.098047087309,9.35782603733702,85.4620895047936,94.5916141015325,50.8970882380822,3.06422081128748,86.0585672088889,9.71572604118136,15174,16904,18750,57,1787,3633,0.899672222222222,938.633688888889,-0.786866666666667,0.0276333333333333,0.0175666666666667,0.8062,0.8943,0.9962
"20","35","SP",379069131,15835,6.98138943111225,0.749367601315846,4.56507221805579,-6.71441249663072,-25.5591017335306,-0.259624787641797,18.0199033257217,10.5854331750863,90.5438657522876,86.5949578139717,45.2007156044166,3.14161961273015,89.9804234473016,7.81260550218597,15875,17926,20163,40,2091,4328,0.890471428571429,284.753511111111,-0.971334920634921,-0.0207666666666667,-0.0117761904761905,0.7853,0.8834,0.9975
"21","41","PR",96337526,9343,12.5376807808235,3.30452088982484,7.68550536688114,-5.03725417923287,-2.39351353129983,-0.270460886923641,3.33782714585601,13.1405864635953,93.6642989011129,88.2721161313695,68.3663038066474,3.13078351344831,75.2983472674359,14.3233515206471,9367,10698,12142,24,1355,2799,0.875625641025641,273.978430769231,-0.20844358974359,0.0265948717948718,0.0378,0.7695,0.8733,0.9974
"22","42","SC",57081732,1739,2.7994955344936,3.98137619461173,3.22067442204702,-9.05181036438393,8.02446583163284,-0.259554743929891,3.54120746892011,13.8174417683822,89.1994679562788,84.2575599462185,78.7842831695801,3.14168965644206,75.5017275905,3.25542253037612,1743,2000,2275,4,261,536,0.870125,100.02551,-1.67719,-0.00806,0.00391,0.7644,0.8695,0.9977
"23","43","RS",98157937,1331,1.56891484876506,2.50863632421942,-6.48906531588216,-8.67575808877612,-16.2617445363058,-0.468549263665048,2.72294088184868,12.3447018979899,79.4897282183496,84.6336122218263,54.4980728016414,2.9326951367069,74.6834610034286,1.81508360472836,1332,1549,1793,1,218,462,0.874982857142857,44.3323828571429,-2.37110285714286,-0.01196,0.00632857142857143,0.7423,0.8593,0.9992
"24","50","MS",22232284,6486,41.6871815909881,-0.400505226842052,2.91803471536991,0.44496966100419,0.808697182336508,-0.258205818120865,10.4610881911474,9.43556034692844,88.8968282496017,93.7543399716066,71.5685145202837,3.14303858225108,82.4216083127273,46.2816121611137,6503,7258,8075,17,772,1589,0.900154545454545,659.329418181818,0.791654545454545,0.0464363636363636,0.0184181818181818,0.8032,0.8936,0.9974
"25","51","MT",27712342,24902,94.921608973931,-4.58410381763275,-0.320667756895489,-0.298289109329475,4.50548407229426,-0.171601092291141,3.66397166796556,5.25196175613774,85.6581257773363,93.0110812012729,75.2653014102415,3.22964330808081,75.6244917895455,103.517490045753,24973,27187,29569,71,2285,4667,0.921181818181818,1235.34058181818,1.85275909090909,0.0291318181818182,0.0233954545454545,0.8422,0.916,0.9972
"26","52","GO",55225654,20183,52.3792080096083,-3.51619805717106,-0.942628035469183,1.17459644093727,6.27994882605865,-0.404208590851708,9.76991706842011,6.31986751659943,85.0361654987626,94.4839667515397,77.0397661640059,2.99703580952024,81.73043719,57.1270093985266,20227,22187,24314,44,2004,4131,0.914955555555556,1232.50535,1.00517222222222,0.0137888888888889,0.01,0.8301,0.9097,0.9978
"27","53","DF",24005598,1994,8.30639586649747,0.647367343122501,-3.69631141811132,-5.55270391520308,-55.1946431788742,-0.142244400371943,24.6175139284201,10.483432916893,82.2824821161204,87.7566663953993,15.565174159073,3.259,96.57803405,9.47663957381941,2000,2275,2578,6,281,584,0.8869,2275.7127,-0.3465,-0.1161,-0.0763,0.7735,0.8765,0.997
"28","Brazil","BR",1750384969,311968,28.7489154719154,-0.915135738541862,-1.67692525869381,1.09962971871498,-0.283203649382084,0.132922804152814,-1.51036249169292,8.92092983522863,84.301868275538,94.4090000293174,70.4766136885651,3.53416720452476,70.450157629887,31.7208785212516,312780,345220,380400,812,33252,68432,0.899389011086074,757.553867387597,0.381806184164,-0.00319367596231329,-0.000392626546676573,0.8201,0.9037,0.9974
